file,PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
"data/Foreign Connected PACs, 1999-2000.csv",7-Eleven,Japan/Ito-Yokado,"$8,500","$1,500","$7,000"
"data/Foreign Connected PACs, 1999-2000.csv",ABB Group,Switzerland/Asea Brown Boveri,"$46,000","$17,000","$28,500"
"data/Foreign Connected PACs, 1999-2000.csv",Accenture,UK/Accenture plc,"$75,984","$23,000","$52,984"
"data/Foreign Connected PACs, 1999-2000.csv",ACE INA,UK/ACE Group,"$38,500","$12,500","$26,000"
"data/Foreign Connected PACs, 1999-2000.csv",Acuson Corp (Siemens AG),Germany/Siemens AG,"$2,000","$2,000",$0
"data/Foreign Connected PACs, 1999-2000.csv",Adtranz (DaimlerChrysler),Germany/DaimlerChrysler AG,"$10,500","$10,000",$500
"data/Foreign Connected PACs, 1999-2000.csv",AE Staley Manufacturing (Tate & Lyle),UK/Tate & Lyle,"$24,000","$10,000","$14,000"
"data/Foreign Connected PACs, 1999-2000.csv",AEGON USA (AEGON NV),Netherlands/Aegon NV,"$58,250","$10,500","$47,750"
"data/Foreign Connected PACs, 1999-2000.csv",AIM Management Group,UK/AMVESCAP,"$25,000","$10,000","$15,000"
"data/Foreign Connected PACs, 1999-2000.csv",Air Liquide America,France/L'Air Liquide SA,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Alcatel USA,France/Alcatel,"$21,000","$6,000","$15,000"
"data/Foreign Connected PACs, 1999-2000.csv",Aliant Communications,Canada/BCE,"$2,000","$1,000","$1,000"
"data/Foreign Connected PACs, 1999-2000.csv",Allfirst Financial,Ireland/Allied Irish Banks,"$11,900","$6,950","$4,950"
"data/Foreign Connected PACs, 1999-2000.csv",Allied Domecq Spirits & Wine,UK/Allied Domecq,"$41,800","$6,200","$35,600"
"data/Foreign Connected PACs, 1999-2000.csv",AMP Inc (Tyco International),Ireland/Tyco International,"$17,750","$1,250","$16,500"
"data/Foreign Connected PACs, 1999-2000.csv",Anglogold Ltd,UK/Anglo American PLC,"$14,000","$4,000","$10,000"
"data/Foreign Connected PACs, 1999-2000.csv",APL Ltd,Singapore/Neptune Orient Lines Ltd,"$20,200","$5,450","$14,750"
"data/Foreign Connected PACs, 1999-2000.csv",Aqua-Chem Inc,France/Lyonnaise des Eaux-Dumez Group,"$1,639",$0,"$1,639"
"data/Foreign Connected PACs, 1999-2000.csv",ASARCO LLC,Mexico/Nueva Grupo Mexico,"$20,735","$2,000","$18,735"
"data/Foreign Connected PACs, 1999-2000.csv",AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca,"$131,155","$28,250","$102,905"
"data/Foreign Connected PACs, 1999-2000.csv",Atlantic Richfield (BP),UK/BP PLC,"$106,454","$30,979","$75,475"
"data/Foreign Connected PACs, 1999-2000.csv",ATOFINA Chemicals (TotalFinaElf),France/TOTAL FINA ELF,"$25,650","$5,650","$20,000"
"data/Foreign Connected PACs, 1999-2000.csv",ATOFINA Petrochemicals (TotalFinaElf),France/TotalFinaElf,"$25,000","$9,250","$15,750"
"data/Foreign Connected PACs, 1999-2000.csv",Aventis CropScience (Aventis),France/Aventis,"$23,500","$12,500","$11,000"
"data/Foreign Connected PACs, 1999-2000.csv",Aventis Pasteur USA (Aventis),France/Aventis,"$107,500","$54,500","$53,000"
"data/Foreign Connected PACs, 1999-2000.csv",Aventis Pharmaceuticals (Aventis),France/Aventis,"$18,000","$1,500","$16,500"
"data/Foreign Connected PACs, 1999-2000.csv",Aventis Pharmaceuticals Products (Aventis),France/Aventis,"$48,700","$7,500","$41,200"
"data/Foreign Connected PACs, 1999-2000.csv",Bacardi USA (Bacardi Ltd),UK/Bacardi Ltd,$500,$0,$500
"data/Foreign Connected PACs, 1999-2000.csv",Bacardi USA (Bacardi Ltd),UK/Bacardi Ltd,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",BAE Systems North America (BAE Systems),UK/BAE Systems,"$243,639","$98,580","$145,059"
"data/Foreign Connected PACs, 1999-2000.csv",Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$73,250","$20,075","$53,175"
"data/Foreign Connected PACs, 1999-2000.csv",BASF Corp,Germany/BASF Group,"$219,250","$31,500","$185,750"
"data/Foreign Connected PACs, 1999-2000.csv",Bayer Corp,Germany/Bayer AG,"$245,500","$57,500","$188,000"
"data/Foreign Connected PACs, 1999-2000.csv",Bear Creek Corp (Yamanouchi Consumer),Japan/Yamanouchi Consumer,"$4,500","$1,500","$3,000"
"data/Foreign Connected PACs, 1999-2000.csv",BHP Holdings,Australia/Broken Hill Proprietary,"$4,250","$1,500","$2,750"
"data/Foreign Connected PACs, 1999-2000.csv",Bird-Johnson Co (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$6,500","$4,000","$2,500"
"data/Foreign Connected PACs, 1999-2000.csv",Blue Circle America (Blue Circle Industries),UK/Blue Circle Industries,"$31,500","$5,000","$26,500"
