"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Accenture (Accenture)","Ireland/Accenture plc","$42000","$20500","$21500"
"Acreage Holdings","Canada/Acreage Holdings","$0","$0","$0"
"Air Liquide America","France/L'Air Liquide SA","$27500","$7000","$20500"
"Airbus Group","Netherlands/Airbus Group","$270750","$83250","$187500"
"Alexion Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$115000","$61000","$54000"
"Alkermes Inc","Ireland/Alkermes Plc","$78000","$37000","$41000"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$51000","$28500","$22500"
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$0","$0","$0"
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$242000","$98500","$143500"
"AON Corp (AON plc)","UK/AON PLC","$66500","$25000","$41500"
"APL Maritime (CMA CGM)","France/CMA CGM SA","$15000","$7500","$7500"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$0","$0","$0"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$0","$0","$0"
"ArcelorMittal","Luxembourg/ArcelorMittal","$12500","$6000","$6500"
"Arch Capital Group (US)","UK/Arch Capital Group","$7500","$1000","$6500"
"Arkema Inc","France/Arkema","$30500","$16000","$14500"
"Ashta Chemicals","UK/INEOS Group","$315","$0","$315"
"Ashton Woods Homes","Canada/Great Gulf Group","$4500","$0","$4500"
"Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK/Assured Guaranty Ltd","$60000","$27500","$27500"
"Astellas US","Japan/Astellas Pharma","$156750","$85500","$72750"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$295500","$150000","$143500"
"Atkins North America","Canada/SNC-Lavalin","$11000","$2000","$9000"
"Austal USA","Australia/Austal Ltd","$51700","$3500","$48200"
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$256500","$145000","$111500"
"Bacardi USA","UK/Bacardi Ltd","$39250","$16000","$20750"
"BAE Systems (BAE Systems)","UK/BAE Systems","$657500","$249500","$401000"
"Barclays Group US","UK/Barclays plc","$131999","$61999","$69000"
"BASF Corp","Germany/BASF SE","$382000","$168000","$214000"
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$224091","$81500","$135091"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$189000","$114500","$75500"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$0","$0","$0"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$199100","$92600","$108500"
"Bombardier Aerospace (Bombardier Inc)","Canada/Bombardier Inc","$30500","$5000","$25500"
"BP North America","UK/BP PLC","$41500","$10500","$31000"
"Bridgestone Americas","Japan/Bridgestone Corp","$24500","$11000","$12500"
"CAE USA","Canada/CAE Inc","$43500","$18000","$25500"
"CalPortland Co","Japan/Taiheiyo Cement Co","$333500","$13000","$320500"
"Canopy Growth USA","Canada/Canopy Growth Corp","$32500","$7500","$25000"
"Carmeuse Lime","Netherlands/Carmeuse SA","$1000","$0","$1000"
"Case New Holland","Netherlands/CNH Industrial","$112000","$0","$112000"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$53200","$16000","$37200"
"CGI Technologies & Solutions","Canada/CGI Group","$97000","$55000","$42000"
"Chubb Group of Insurance Companies","Switzerland/Chubb Ltd","$116000","$61000","$55000"
"CIBC Bancorp","Canada/Canadian Imperial Bank of Commerce","$24500","$3500","$21000"
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$17500","$7500","$10000"
"Covestro LLC (Covestro AG)","Germany/Covestro AG","$54000","$14000","$40000"
"Credit Suisse Securities (UBS AG)","Switzerland/UBS AG","$0","$0","$0"
"CRH Americas (CRH PLC)","Ireland/CRH PLC","$702600","$282000","$418100"
"Cronos USA","Canada/Cronos Group","$21500","$5000","$16500"
"CSL Behring","Australia/CSL Ltd","$34300","$19800","$14500"
"Cumberland Farms (EG Group)","UK/EG Group","$0","$0","$0"
"Delhaize America","Belgium/Ahold Delhaize","$5500","($1000)","$4000"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$1950","$0","$1950"
